study_id,subject_id,source_database,source_accession,source_url,publication_doi,publication_pmid,intervention_type,probiotic_species,probiotic_strain,number_of_strains,total_CFU_per_day,log10_CFU_per_day,strain_specific_CFU,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,placebo_type
PMID:28792488,needs_manual_extraction,PubMed,28792488,https://pubmed.ncbi.nlm.nih.gov/28792488/,10.1038/ijo.2017.161,28792488,needs_manual_extraction,Lactobacillus on,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:27810310,needs_manual_extraction,PubMed,27810310,https://pubmed.ncbi.nlm.nih.gov/27810310/,10.1016/j.ebiom.2016.10.036,27810310,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT02217579,needs_manual_extraction,ClinicalTrials.gov,NCT02217579,https://clinicaltrials.gov/study/NCT02217579,,,prebiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT01433120,needs_manual_extraction,ClinicalTrials.gov,NCT01433120,https://clinicaltrials.gov/study/NCT01433120,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT01004120,needs_manual_extraction,ClinicalTrials.gov,NCT01004120,https://clinicaltrials.gov/study/NCT01004120,,,prebiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07593170,needs_manual_extraction,ClinicalTrials.gov,NCT07593170,https://clinicaltrials.gov/study/NCT07593170,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07559227,needs_manual_extraction,ClinicalTrials.gov,NCT07559227,https://clinicaltrials.gov/study/NCT07559227,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07517757,needs_manual_extraction,ClinicalTrials.gov,NCT07517757,https://clinicaltrials.gov/study/NCT07517757,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07507929,needs_manual_extraction,ClinicalTrials.gov,NCT07507929,https://clinicaltrials.gov/study/NCT07507929,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:42120725,needs_manual_extraction,PubMed,42120725,https://europepmc.org/article/MED/42120725,10.1038/s41591-026-04394-7,42120725,needs_manual_extraction,Akkermansia muciniphila,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41921070,needs_manual_extraction,PubMed,41921070,https://europepmc.org/article/MED/41921070,10.1093/lambio/ovag041,41921070,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41938967,needs_manual_extraction,PubMed,41938967,https://europepmc.org/article/MED/41938967,10.3389/fpubh.2026.1767108,41938967,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
