evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
NCT:NCT03477916,ClinicalTrials.gov,NCT03477916,Fecal Microbial Transplantation and Fiber Supplementation in Participants With Obesity and Metabolic Syndrome.,primary_intervention,FMT; Placebo FMT; Prebiotic Fiber; Cellulose,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT04042181,ClinicalTrials.gov,NCT04042181,"The Effects of Supplementation of a Probiotic, B. Longum, on BMI and Anthropometric Outcomes in Overweight/Obese Adults.",primary_intervention,Placebo; Bifidobacterium longum,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT02958644,ClinicalTrials.gov,NCT02958644,Effect of Synbiotic Supplement on the Body Mass Index of Participants With Severe Obesity,primary_intervention,Synbiotics; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT03266055,ClinicalTrials.gov,NCT03266055,Effects of Blueberry on Gut Microbiota and Metabolic Syndrome,primary_intervention,"50 g of blueberry powder, taken daily for 8 weeks; 50g of placebo blueberry powder, taken daily for 8 weeks",8 weeks,,50 g; 50g,,,,,,,,,auto_prefill,pending,
NCT:NCT03135041,ClinicalTrials.gov,NCT03135041,The Effect of Prebiotic Fibres on Weight Loss in an Overweight and Obese Population,primary_intervention,Fiber-containing dietary supplement; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT03883191,ClinicalTrials.gov,NCT03883191,Effect of a Three Combined Probiotics Supplementation on Weight Loss in Obese/Overweight Children,primary_intervention,"L. rhamnosus bv-77, B. animalis subsp. lactis CP-9 and L. salivarius AP-32 mix probiotics powder; Placebo",,,,,,,,,,,,auto_prefill,pending,
NCT:NCT03287726,ClinicalTrials.gov,NCT03287726,What is the Impact of Probiotics on Weight Loss Maintenance in Individuals With Obesity?,primary_intervention,probiotics; placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT02127125,ClinicalTrials.gov,NCT02127125,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),primary_intervention,Maltodextrin; Synbiotic; Sevelamer,,,,,,,,,,,,auto_prefill,pending,
PMID:24184299,PubMed,24184299,A randomized triple-masked controlled trial on the effects of synbiotics on inflammation markers in overweight children.,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT01870544,ClinicalTrials.gov,NCT01870544,"Does Weight Loss Surgery and Probiotic Supplementation Lead to a ""Lean"" Gut Microbiota?",primary_intervention,Lactobacillus Rhamnosus GG; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT05671731,ClinicalTrials.gov,NCT05671731,Combining Prebiotic and Diet/Physical Activity Educational Program Effects on Body Composition and Intestinal Microbiota in Children,primary_intervention,Beneo Synergy 1; Project FUN,12 weeks,,,,,,,,,,,auto_prefill,pending,
NCT:NCT01650025,ClinicalTrials.gov,NCT01650025,"Effects of VSL#3 on Metabolic, Endocrine, Lipidomic and Inflammatory Parameters of Pediatric Patients With BMI>90°",primary_intervention,VSL#3 active probiotic; VSL#3 placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT00522353,ClinicalTrials.gov,NCT00522353,Prebiotic Fiber as a Modifier of Satiety Hormones and Body Weight in Overweight and Obese Adults,primary_intervention,Oligofructose; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07565675,ClinicalTrials.gov,NCT07565675,The BALANCE Study - Improving Glucose Control Through Prebiotic Gut Health Drink in Postmenopausal Women,primary_intervention,ió everyday (a prebiotic- enriched gut health drink containing inulin); Placebo Comparator,,,,,,,,,,,,auto_prefill,pending,
