evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:30525950,PubMed,30525950,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults.,primary_intervention,,6 months; 1 month,,12 g; 12 g/day,,,,,,,,,supplement_queue,pending,
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,primary_intervention,Lactobacillus casei strain Shirota; Lactobacillus casei strain Shirota plus inulin; Lactobacillus casei strain Shirota plus fructans from A. salmiana,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,primary_intervention,Protein; Prebiotic fiber; Protein plus prebiotic fiber; Control,12 weeks,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01433120,ClinicalTrials.gov,NCT01433120,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,primary_intervention,Lactobacillus paracasei ssp paracasei F19; Flax seed fibres; Maltodextrin (Placebo),,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41494682,PubMed,41494682,The Effects of Probiotic Yogurt and Resistance Training on Body Composition and Metabolic Parameters in Post-bariatric Surgery Patients: A Randomized Controlled Trial.,primary_intervention,,12-week,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:42120725,PubMed,42120725,Pasteurized Akkermansia muciniphila Muc,primary_intervention,,8-week; 24-week,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07507929,ClinicalTrials.gov,NCT07507929,Probiotic for Weight Management in Overweight and Obese Adults,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07517757,ClinicalTrials.gov,NCT07517757,Dietary Strategies for the Treatment of Fibromyalgia in Overweight and Obese Patients,primary_intervention,Very Low-Calorie Ketogenic Diet; Mediterranean diet; Mediterranean diet enriched by GABA-producing probiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07559227,ClinicalTrials.gov,NCT07559227,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",primary_intervention,Inulin Supplementation; Maltodextrin (Placebo); High-fat meal,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07593170,ClinicalTrials.gov,NCT07593170,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,primary_intervention,AKK; Placebo (maltodextrin),,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41455007,PubMed,41455007,"Bifidobacterium Breve BBr60 Improves Obesity Via the Gut Microbiota-Short-Chain Fatty Acid-IL-27/GLP-1 Axis: Evidence from a Randomized, Double-Blind, Placebo-Controlled Trial.",primary_intervention,,12-week,,25 g,,,,,,,,,supplement_queue,pending,
NCT:NCT06780007,ClinicalTrials.gov,NCT06780007,Weight Loss Effect of Akkermansia Muciniphila in Obese Patients,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07515443,ClinicalTrials.gov,NCT07515443,The Effects of a Commercially Available Synbiotic on the Gut Microbiome and Cardiometabolic Health: A Randomized Double-Blind Placebo-Controlled Trial,primary_intervention,Synbiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:38072119,PubMed,38072119,Effect of Probiotic Supplementation on Intestinal Permeability in Overweight and Obesity: A Systematic Review of Randomized Controlled Trials and Animal Studies.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06305650,ClinicalTrials.gov,NCT06305650,Probiotic Influence on Obesity-Related Lipidemia,primary_intervention,Probiotic,,,,,,,,,,,,supplement_queue,pending,
PMID:38999802,PubMed,38999802,"Preoperative Multistrain Probiotic Supplementation Does Not Affect Body Weight Changes or Cardiometabolic Risk Factors in Bariatrics: Randomized, Double-Blind, Placebo-Controlled Clinical Trial.",primary_intervention,,12-week; 6 months,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05908474,ClinicalTrials.gov,NCT05908474,"The Effects of io Fibrewater Supplementation on Gut Health, Immunity and Metabolism in Overweight Adults",primary_intervention,Enriched fibre water,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06030999,ClinicalTrials.gov,NCT06030999,The Prevention And Treatment On Obesity And Weight Management By Oral Supplementation Of Probiotics And Prebiotics,primary_intervention,Study product A (Wonderlab wonder4shape); Study product B (Wonderlab wonder4shape); Study product C (placebo),,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06035718,ClinicalTrials.gov,NCT06035718,Effect of Transcranial Direct Current Stimulation (tDCS) and Probiotic Supplementation in Overweight Adults,primary_intervention,Probiotic Blend Capsule; tDCS; Sham tDCS,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07448220,ClinicalTrials.gov,NCT07448220,Study on the Efficacy of Probiotics in the Treatment of Childhood Obesity and Their Effects on Gut Microbiota,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07452757,ClinicalTrials.gov,NCT07452757,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers,primary_intervention,Arm II; Arm III; Arm IV,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05002153,ClinicalTrials.gov,NCT05002153,The Role of Microbiome in Recurrent Obesity,primary_intervention,Fecal microbiota transplantation (FMT); Placebo,,,,,,,,,,,,supplement_queue,pending,
PMID:36435795,PubMed,36435795,"The effect of ""moderately restricted carbohydrate"" diet on gut microbiota composition and metabolic parameters in women with metabolic syndrome: a study protocol for a randomized controlled trial.",primary_intervention,,3 months; 6 months,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:35126309,PubMed,35126309,Efficacy and Safety of,primary_intervention,,12 weeks; 12-week,,34.4 mg; 30.9 mg; 37.5 mg; 30.7 mg; 115.8 mg; 65.9 mg,,,,,,,,,supplement_queue,pending,
NCT:NCT05459909,ClinicalTrials.gov,NCT05459909,The Effect of Synbiotic and Diet Modification Among Overweight or Obese Hong Kong Chinese,primary_intervention,Synbiotic supplementation; Dietary intervention,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03749291,ClinicalTrials.gov,NCT03749291,Motivational Intervention on the Gut Microbiota of Obese Children,primary_intervention,Obemat2.0 therapy; Usual Clinical Practice,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05664321,ClinicalTrials.gov,NCT05664321,Influence of Adiposity and Other Factors on the Gut Microbiota Composition,primary_intervention,"Observational, case-control study",,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04201938,ClinicalTrials.gov,NCT04201938,Effect of Probiotic Co-administration With Omega-3 Fatty Acids on Obesity Parameters and Insulin Resistance,primary_intervention,Symbiter-Omega; Placebo,,,,,,,,,,,,supplement_queue,pending,
PMID:29688793,PubMed,29688793,"Lactobacillus gasseri BNR17 Supplementation Reduces the Visceral Fat Accumulation and Waist Circumference in Obese Adults: A Randomized, Double-Blind, Placebo-Controlled Trial.",primary_intervention,,12 weeks; 12-week,109 CFU/day; 1010 CFU/day,,,,,,,,,,supplement_queue,pending,
NCT:NCT02958644,ClinicalTrials.gov,NCT02958644,Effect of Synbiotic Supplement on the Body Mass Index of Participants With Severe Obesity,primary_intervention,Synbiotics; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03135041,ClinicalTrials.gov,NCT03135041,The Effect of Prebiotic Fibres on Weight Loss in an Overweight and Obese Population,primary_intervention,Fiber-containing dietary supplement; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03266055,ClinicalTrials.gov,NCT03266055,Effects of Blueberry on Gut Microbiota and Metabolic Syndrome,primary_intervention,"50 g of blueberry powder, taken daily for 8 weeks; 50g of placebo blueberry powder, taken daily for 8 weeks",8 weeks,,50 g; 50g,,,,,,,,,supplement_queue,pending,
NCT:NCT03287726,ClinicalTrials.gov,NCT03287726,What is the Impact of Probiotics on Weight Loss Maintenance in Individuals With Obesity?,primary_intervention,probiotics; placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03883191,ClinicalTrials.gov,NCT03883191,Effect of a Three Combined Probiotics Supplementation on Weight Loss in Obese/Overweight Children,primary_intervention,"L. rhamnosus bv-77, B. animalis subsp. lactis CP-9 and L. salivarius AP-32 mix probiotics powder; Placebo",,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02127125,ClinicalTrials.gov,NCT02127125,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),primary_intervention,Maltodextrin; Synbiotic; Sevelamer,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01870544,ClinicalTrials.gov,NCT01870544,"Does Weight Loss Surgery and Probiotic Supplementation Lead to a ""Lean"" Gut Microbiota?",primary_intervention,Lactobacillus Rhamnosus GG; Placebo,,,,,,,,,,,,supplement_queue,pending,
PMID:23560206,PubMed,23560206,"Effect of Lactobacillus gasseri BNR17 on Overweight and Obese Adults: A Randomized, Double-Blind Clinical Trial.",primary_intervention,,12 weeks,,100 mg,,,,,,,,,supplement_queue,pending,
NCT:NCT01650025,ClinicalTrials.gov,NCT01650025,"Effects of VSL#3 on Metabolic, Endocrine, Lipidomic and Inflammatory Parameters of Pediatric Patients With BMI>90°",primary_intervention,VSL#3 active probiotic; VSL#3 placebo,,,,,,,,,,,,supplement_queue,pending,
PMID:20216555,PubMed,20216555,Regulation of abdominal adiposity by probiotics (Lactobacillus gasseri SBT2055) in adults with obese tendencies in a randomized controlled trial.,primary_intervention,,12 weeks,,200 g/day,,,,,,,,,supplement_queue,pending,
NCT:NCT00522353,ClinicalTrials.gov,NCT00522353,Prebiotic Fiber as a Modifier of Satiety Hormones and Body Weight in Overweight and Obese Adults,primary_intervention,Oligofructose; Placebo,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:10.21203/rs.3.rs-8449196/v1,publisher supplementary data,10.21203/rs.3.rs-8449196/v1,"Probiotic Effect on Quality of Life, Bowel Habits and Weight Loss after Different Types of Bariatric Surgeries, a Randomized Controlled Trial",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41612500,PubMed,41612500,Multi-strain synbiotic and lifestyle modifications on patients with metabolic dysfunction-associated steatotic liver disease (MASLD): a randomized double-blinded placebo-controlled trial.,primary_intervention,,12 weeks,,500 mg,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41736436,PubMed,41736436,Combined acupuncture and herb treatment improves intestinal flora inabdominally obese subjects based on 16s rRNA sequencing: a randomized controlled trial.,primary_intervention,,12 weeks,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41924306,PubMed,41924306,"Oleoylethanolamide supplementation enriches Akkermansia muciniphila and modulates intestinal barrier function in adults with obesity: A randomized, double-blind, placebo-controlled trial.",primary_intervention,,12 weeks,,300 mg; 250 mg/day,,,,,,,,,supplement_queue,pending,
NCT:NCT07386795,ClinicalTrials.gov,NCT07386795,The Efficacy and Safety of Microbiota Transplantation Combined With Prebiotics for Treatment of Functional Constipation,primary_intervention,FMT,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:40951500,PubMed,40951500,Probiotic,primary_intervention,,,,2.11 μg; 0.71 μg,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41413231,PubMed,41413231,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial.",primary_intervention,,4 months,,10.83 mg; 11.78 mg; 22.83 mg,,,,,,,,,supplement_queue,pending,
NCT:NCT05802121,ClinicalTrials.gov,NCT05802121,Akkermansia Muciniphilia and Metabolic Side Effects of ADT,primary_intervention,Apple Cider Vinegar,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06823557,ClinicalTrials.gov,NCT06823557,Investigation of the Mechanisms of the Gut-brain Axis in Binge Eating and Obesity.,primary_intervention,Psychobiotic treatment; Placebo treatment,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06901440,ClinicalTrials.gov,NCT06901440,Bariatric Surgery for Obesity,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06964932,ClinicalTrials.gov,NCT06964932,Probiotics in Obesity Management,primary_intervention,Probiotc; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06987279,ClinicalTrials.gov,NCT06987279,Lactobacillus Plantarum and Hormonal Regulation in Obese Women,primary_intervention,Probiotic; Maltodextrin,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT07097974,ClinicalTrials.gov,NCT07097974,Evaluation of the Efficacy of the Composite WM Formula in Body Weight Change,primary_intervention,WM formula liquid drink; Placebo,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:38674828,PubMed,38674828,"A 12-Week, Single-Centre, Randomised, Double-Blind, Placebo-Controlled, Parallel-Design Clinical Trial for the Evaluation of the Efficacy and Safety of",primary_intervention,,12-Week; 12 weeks,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06554314,ClinicalTrials.gov,NCT06554314,Effect of Probiotics on Regulating Gut Health and Blood Lipid in Adults,primary_intervention,probiotics,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06578143,ClinicalTrials.gov,NCT06578143,Effects of Synbiotics on Obesity,primary_intervention,Placebo; Synbiotics,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06722443,ClinicalTrials.gov,NCT06722443,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,primary_intervention,Probiotic; Prebiotic; Synbiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06729671,ClinicalTrials.gov,NCT06729671,A Probiotic Strategy for Antipsychotic-induced Metabolic Dysfunction,primary_intervention,Bifidobacterium longum APC1472 hydroxypropylmethylcellulose (HPMC) capsule; maltodextrin,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06795607,ClinicalTrials.gov,NCT06795607,Effect of the Probiotic SF68® on Body Composition and Low-to-moderate Cardiovascular Risk,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06974994,ClinicalTrials.gov,NCT06974994,Resilience to Antibiotic-induced Obesogenic Microbiota: Discovering Mechanism of Microbiota Modulation,primary_intervention,Synbiotic Supplement; Placebo,24 months,,,,,,,,,,,supplement_queue,pending,
PMID:38653887,PubMed,38653887,"Impact of Probiotics on Gastrointestinal Function and Metabolic Status After Roux-en-Y Gastric Bypass: A Double-Blind, Randomized Trial.",primary_intervention,,1 week; 6 months; 3 months,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:38140284,PubMed,38140284,"Effect of Continuous Ingestion of Bifidobacteria and Inulin on Reducing Body Fat: A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Comparison Study.",primary_intervention,,12 weeks,,100 g; 2.0 g,,,,,,,,,supplement_queue,pending,
NCT:NCT04809688,ClinicalTrials.gov,NCT04809688,Saskatoon Berry on Metabolism and Gut Microbiota in Healthy Subjects,primary_intervention,Saskatoon berry; Dried Saskatoon berry,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05791604,ClinicalTrials.gov,NCT05791604,The Intervention of Obesity in Children With Prader-Willi Syndrome Using Prebiotics and Probiotics,primary_intervention,"probiotics including B. lactis B420, B. lactis HN019, B. animalis Bb-12, L. rhamnosus GG; Prebiotics with galactomannan and oligofructose",,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05821010,ClinicalTrials.gov,NCT05821010,Synbiotics and Fecal Microbiota Transplantation to Treat Non-Alcoholic Steatohepatitis,primary_intervention,Lyophilized fecal microbiota transplantation capsules; Placebo capsules; A. soehngenii; Pasteurized A. muciniphila; B. animalis subsp. lactis; Fructo-oligosaccharides,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05826184,ClinicalTrials.gov,NCT05826184,Time Restricted Eating With or Without a Fiber Supplement for Weight Management in Pediatric Cancer Survivors,primary_intervention,Time restircted eating; Time restricted eating + prebiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05832190,ClinicalTrials.gov,NCT05832190,Correcting GUT MicrobioTa by Combined Supplementation of FibERs and BIotiN to Improve Microbiome and Optimize Bariatric Surgery Outcomes,primary_intervention,Standard of care; Biotin supplement; Fiber supplement,3-month; 3 months; 6 months,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06612164,ClinicalTrials.gov,NCT06612164,"Effects of Kefir Consumption on Health Outcomes: Gastrointestinal System, Immunity, Biochemical Parameters, Body Composition, Sleep Quality and Mental Well Being in Healthy Adults",primary_intervention,kefir,,,,,,,,,,,,supplement_queue,pending,
PMID:37248499,PubMed,37248499,"The impact of Hafnia alvei HA4597™ on weight loss and glycaemic control after bariatric surgery - study protocol for a triple-blinded, blocked randomized, 12-month, parallel-group, placebo-controlled clinical trial.",primary_intervention,,12-month; 90 days; 12 months,5 x 10^7 CFU,2 capsules,,,,,,,,,supplement_queue,pending,
NCT:NCT04962633,ClinicalTrials.gov,NCT04962633,Dietary Intervention With Probiotic Pasta and Evaluation of the Effects on Metabolic and Inflammatory Status,primary_intervention,Probiotic Pasta; Control Pasta,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05255367,ClinicalTrials.gov,NCT05255367,Effect of (Poly)Phenolic on Cardiometabolic Risk of Postmenopausal Women,primary_intervention,(poly)phenols rich foods,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05353504,ClinicalTrials.gov,NCT05353504,Impact of Microbiome-changing Interventions on Food Decision-making,primary_intervention,Inulin; Lifestyle intervention; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05417360,ClinicalTrials.gov,NCT05417360,Akkermansia and Weight Maintenance,primary_intervention,Akkermansia muciniphila; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT06327919,ClinicalTrials.gov,NCT06327919,Effects of Probiotic Supplementation With Weight Reducing Plan in Patients With Food Addiction and Weight Regain After Bariatric Surgery,primary_intervention,Probiotic supplement; Placebo supplement,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04863313,ClinicalTrials.gov,NCT04863313,Effect of a Probiotic on the Glycemic Profile and the Fecal Microbiota of Prediabetic Subjects (PREDIABETCARE),primary_intervention,Probiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04884776,ClinicalTrials.gov,NCT04884776,Modulation of Gut Microbiota to Enhance Health and Immunity,primary_intervention,Microbiome immunity formula; Active placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05000775,ClinicalTrials.gov,NCT05000775,The Influence of GNiib® in Obesity Management in Obese Young Individuals in Hong Kong.,primary_intervention,G-Niib; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05207488,ClinicalTrials.gov,NCT05207488,"Gastrointestinal And Metabolic Effects From a Prebiotic, Lifting, and Aerobic iNtervention",primary_intervention,Fructooligosaccharides (FOS); Exercise; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05405205,ClinicalTrials.gov,NCT05405205,Effect of Synbiotic L. Fermentum Strains on Body Fat Mass,primary_intervention,synbiotic; probiotic; placebo,,,,,,,,,,,,supplement_queue,pending,
PMID:33915854,PubMed,33915854,Role of Probiotics in Modulating Human Gut Microbiota Populations and Activities in Patients with Colorectal Cancer-A Systematic Review of Clinical Trials.,primary_intervention,,6 days,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04097106,ClinicalTrials.gov,NCT04097106,Synbiotic Dietary Supplement and Gut Microbiota,primary_intervention,Synbiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04130321,ClinicalTrials.gov,NCT04130321,Demonstration of the Prebiotic-like Effects of Camu-camu Consumption Against Obesity-related Disorders in Humans,primary_intervention,Camu camu; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04561284,ClinicalTrials.gov,NCT04561284,Carbohydrate-induced Resilience of the Gut Microbiome After Antibiotics Use,primary_intervention,Indigestible fiber (classified); Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04754464,ClinicalTrials.gov,NCT04754464,Clinical Study on the Effect of a Synbiotic on Body Fat Mass,primary_intervention,synbiotic; microcrystalline cellulose,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05114018,ClinicalTrials.gov,NCT05114018,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,primary_intervention,Pasteurized A. muciniphila; placebo,,,,,,,,,,,,supplement_queue,pending,
PMID:30595036,PubMed,30595036,Efficacy of synbiotic supplementation in obesity treatment: A systematic review and meta-analysis of clinical trials.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:32521799,PubMed,32521799,The Effect of Probiotics and Synbiotics on Risk Factors Associated with Cardiometabolic Diseases in Healthy People-A Systematic Review and Meta-Analysis with Meta-Regression of Randomized Controlled Trials.,primary_intervention,,72 days,,,,,,,,,,,supplement_queue,pending,
PMID:33326198,PubMed,33326198,"Impact of diet and synbiotics on selected gut bacteria and intestinal permeability in individuals with excess body weight - A Prospective, Randomized Study.",primary_intervention,,3-months,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04398693,ClinicalTrials.gov,NCT04398693,Evaluation of Intestinal Microbiota Manipulation to Treat Resistant Hypertension,primary_intervention,Prebiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04555447,ClinicalTrials.gov,NCT04555447,Gastrointestinal Tolerability to Agavins and Impact on Host-gut Microbiota-metabolism Interactions Modulation,primary_intervention,Agavins (prebiotic fiber); Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT05162209,ClinicalTrials.gov,NCT05162209,PROBESITY-2: Synbiotics in Pediatric Obesity,primary_intervention,Synbiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03727321,ClinicalTrials.gov,NCT03727321,FMT and Fiber in Patients With Metabolic Syndrome,primary_intervention,Fecal Microbial Transplant; Fiber; Cellulose,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03800277,ClinicalTrials.gov,NCT03800277,Effect of Cranberry and Agaves Extract on Microbiota and Intestinal Health,primary_intervention,Cranberry; Agaves; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04498455,ClinicalTrials.gov,NCT04498455,Study of a Prebiotic Supplement to Mitigate Excessive Weight Gain Among Physicians in Residency,primary_intervention,Prebiotin,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03312660,ClinicalTrials.gov,NCT03312660,Effect of a Kefir Beverage on Immunity and Lipid Profile,primary_intervention,Prebiotic group; Placebo group,4 weeks,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02660333,ClinicalTrials.gov,NCT02660333,Effect of Prebiotic or Synbiotic on Inflammatory Response and Indicators of Nutritional Status in Obesity,primary_intervention,Placebo; Prebiotic; Synbiotic,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02768818,ClinicalTrials.gov,NCT02768818,Modulation of the Intestinal Flora With the Probiotic VIVOMIXX™ in Pregnant Women at Risk of Metabolic Complications,primary_intervention,Probiotic VIVOMIXX™; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT03530501,ClinicalTrials.gov,NCT03530501,Effect of Very-low Calorie Diet and Synbiotic Supplementation in Gut Microbiota (Pronokal Method),primary_intervention,Diet; Synbiotic1; Synbiotic2,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02637115,ClinicalTrials.gov,NCT02637115,Evaluation of the Effects Associated With the Administration of Akkermansia Muciniphila on Parameters of Metabolic Syndrome,primary_intervention,Placebo; Live Akk 9; Live Akk 10; Killed Akk,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01978691,ClinicalTrials.gov,NCT01978691,The Effect of a Bifidobacterium and Polydextrose on Body Fat Mass,primary_intervention,Bifidobacterium animalis ssp. lactis 420; Polydextrose; Placebo,6 months,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02041975,ClinicalTrials.gov,NCT02041975,Effects of Prebiotic-based Snacks on the Gut Microbiota and Perceived 'Satisfaction',primary_intervention,Nutriose FB06; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02355210,ClinicalTrials.gov,NCT02355210,Use of a Novel Synbiotic to Change Human Gut Bacteria and Improve Health in Obese Adults,primary_intervention,Bifidobacteria adolescentis BD1; Bifidobacteria animalis subsp. lactis BB-12; Bifidobacteria adolescentis BD1 and galactooligosaccharide; Bifidobacteria animalis subsp. lactis BB-12 and galactooligosaccharide; galactooligosaccharide; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02773927,ClinicalTrials.gov,NCT02773927,Combination of Metformin/Inulin vs Inulin on Adiponectin in Metabolic Syndrome,primary_intervention,Metformin; Agave inulin; Placebo of agave inulin; Metformin placebo,12 weeks,,,,,,,,,,,supplement_queue,pending,
