subject_id,study_id,source_database,source_accession,source_url,publication_doi,publication_pmid,baseline_weight,post_weight,weight_change,weight_change_percent,baseline_BMI,post_BMI,BMI_change,waist_change,body_fat_change,TG_change,TC_change,LDL_change,HDL_change,FBG_change,FINS_change,HOMA_IR_change,inflammatory_marker_change,responder_label
needs_manual_extraction,PMID:38999741,PubMed,38999741,https://pubmed.ncbi.nlm.nih.gov/38999741/,10.3390/nu16131993,38999741,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:38542727,PubMed,38542727,https://pubmed.ncbi.nlm.nih.gov/38542727/,10.3390/nu16060815,38542727,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:39456659,PubMed,39456659,https://pubmed.ncbi.nlm.nih.gov/39456659/,10.3390/ijms252010871,39456659,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:39639405,PubMed,39639405,https://pubmed.ncbi.nlm.nih.gov/39639405/,10.1186/s13102-024-01029-7,39639405,,,,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:39415279,PubMed,39415279,https://pubmed.ncbi.nlm.nih.gov/39415279/,10.1186/s12986-024-00851-7,39415279,,,,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:38926901,PubMed,38926901,https://pubmed.ncbi.nlm.nih.gov/38926901/,10.1186/s13063-024-08221-7,38926901,,,,,,,,,needs_manual_extraction,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:38419068,PubMed,38419068,https://pubmed.ncbi.nlm.nih.gov/38419068/,10.1186/s13063-024-07996-z,38419068,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:38393021,PubMed,38393021,https://pubmed.ncbi.nlm.nih.gov/38393021/,10.3390/metabo14020129,38393021,,,needs_manual_extraction,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,,,needs_manual_definition
needs_manual_extraction,EUROPEPMC:37836532,PubMed,37836532,https://europepmc.org/article/MED/37836532,10.3390/nu15194248,37836532,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:37424169,PubMed,37424169,https://pubmed.ncbi.nlm.nih.gov/37424169/,10.1002/oby.23801,37424169,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
