species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Parabacteroides_goldsteinii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0492,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_020091425.1,Complete Genome,Parabacteroides goldsteinii
Alistipes_shahii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.047,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025145845.1,Complete Genome,Alistipes shahii WAL 8301
Prevotella_stercorea,Prevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0458,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000235885.1,Scaffold,Leyella stercorea DSM 18206
Blautia_obeum,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0404,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025147765.1,Complete Genome,Blautia obeum ATCC 29174
Bacteroides_coprocola,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0402,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_041333015.1,Contig,Phocaeicola coprocola
Parabacteroides_distasonis,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0395,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018279895.1,Complete Genome,Parabacteroides distasonis
Alistipes_indistinctus,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.039,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025144995.1,Complete Genome,Alistipes indistinctus YIT 12060
Ruminococcaceae_bacterium_D5,Ruminococcaceae,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0388,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Adlercreutzia_equolifaciens,Adlercreutzia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0372,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000478885.1,Complete Genome,Adlercreutzia equolifaciens DSM 19450
Olsenella_scatoligenes,Olsenella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0369,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_001494635.1,Contig,Tractidigestivibacter scatoligenes
Bacteroides_xylanisolvens,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0368,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018289135.1,Complete Genome,Bacteroides xylanisolvens
Roseburia_sp_CAG_471,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0338,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Eggerthella_lenta,Eggerthella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0326,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_021378605.1,Complete Genome,Eggerthella lenta
Blautia_wexlerae,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0315,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025148125.1,Complete Genome,Blautia wexlerae DSM 19850
