rank,members,n_strains,mean_v3,has_strong_bsh,has_strong_crossfeeder,n_genera,clinical_members,cohort_supported_members,composite_v3
118,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Bifidobacterium_animalis,3,0.7945,True,True,3,2,1,0.852
119,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Bifidobacterium_dentium,3,0.7945,True,True,3,2,0,0.852
120,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Bifidobacterium_longum,3,0.7945,True,True,3,2,1,0.852
121,Lacticaseibacillus_paracasei; Limosilactobacillus_reuteri; Bifidobacterium_longum,3,0.7922,True,True,3,2,1,0.8504
122,Lacticaseibacillus_paracasei; Lactobacillus_johnsonii; Bifidobacterium_longum,3,0.7922,True,True,3,2,1,0.8504
123,Lacticaseibacillus_paracasei; Lactobacillus_johnsonii; Bifidobacterium_animalis,3,0.7922,True,True,3,2,1,0.8504
124,Lactiplantibacillus_plantarum; Lactobacillus_rogosae; Bifidobacterium_animalis,3,0.7922,True,True,3,2,1,0.8504
125,Lacticaseibacillus_paracasei; Lactobacillus_ruminis; Bifidobacterium_animalis,3,0.7922,True,True,3,2,1,0.8504
126,Lactiplantibacillus_plantarum; Lactobacillus_ruminis; Bifidobacterium_longum,3,0.7922,True,True,3,2,1,0.8504
127,Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Bifidobacterium_longum,3,0.7922,True,True,3,2,1,0.8504
128,Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Bifidobacterium_animalis,3,0.7922,True,True,3,2,1,0.8504
129,Lacticaseibacillus_paracasei; Lactobacillus_acidophilus; Bifidobacterium_longum,3,0.7922,True,True,3,2,1,0.8504
130,Lacticaseibacillus_paracasei; Limosilactobacillus_reuteri; Bifidobacterium_animalis,3,0.7922,True,True,3,2,1,0.8504
131,Lacticaseibacillus_paracasei; Lactobacillus_acidophilus; Bifidobacterium_animalis,3,0.7922,True,True,3,2,1,0.8504
