species,coef_obese_log10,p,fdr,direction,fold_change_obese_vs_lean,meta_g,ci_low,ci_high,I2_percent,k_studies,ci_excludes_zero,robust,region,tier,genus,diversity_rho,butyrate,propionate,mucin,culturability_class,culturability_score,spore_former,oral_origin,diversity_score,effect_score,propionate_score,scope
Clostridium_innocuum,-0.4404933420960882,0.003241098855928,0.0114911686710175,lean_enriched,0.363,0.243,-0.398,0.885,67.7,3.0,False,False,北美,robust_capable,Clostridium,-0.027593848236997537,0.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.0,0.734155570160147,0.0,北美特有
Erysipelatoclostridium_ramosum,-0.3735573830335389,0.0038091727941848,0.0132051323531742,lean_enriched,0.423,0.039,-0.942,1.02,85.9,3.0,False,False,北美,robust_capable,Erysipelatoclostridium,-0.237815385214656,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.0,0.6225956383892316,0.0,北美特有
Turicibacter_sanguinis,-0.3138374390031959,0.0020615571557286,0.0080400729073416,lean_enriched,0.485,0.497,-0.113,1.107,63.8,3.0,False,False,北美,robust_capable,Turicibacter,-0.10133746136543957,0.0,0.0,0.0,named_isolate_likely,0.65,1,0,0.0,0.5230623983386599,0.0,跨地区通用
Veillonella_infantium,-0.4075350021444911,0.0059989889287795,0.0190988218957062,lean_enriched,0.391,0.305,-0.183,0.793,45.5,3.0,False,False,北美,robust_capable,Veillonella,-0.06955023109346342,0.0,2.0,0.0,named_isolate_likely,0.65,0,1,0.0,0.6792250035741519,1.0,北美特有
Veillonella_parvula,-0.653309277837789,7.59730578733866e-05,0.0005925898514124,lean_enriched,0.222,0.558,0.051,1.065,48.0,3.0,True,True,北美,robust_capable,Veillonella,-0.15931224369614683,0.0,2.0,0.0,named_isolate_likely,0.65,0,1,0.0,1.0,1.0,北美特有
Bifidobacterium_catenulatum,-0.3148450767507416,0.0018493630204479,0.0194183117147039,lean_enriched,0.484,,,,,,False,False,中东,adjusted_only_single_study,Bifidobacterium,0.07816210454950978,0.0,0.0,0.0,culturable_easy,0.95,0,0,0.20568974881449942,0.5247417945845694,0.0,中东特有
Bacteroides_intestinalis,-0.4169302531275818,5.727842168500421e-05,0.0016440913586594,lean_enriched,0.383,,,,,,False,False,中东,adjusted_only_single_study,Bacteroides,0.2243799525896802,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.5904735594465268,0.6948837552126363,1.0,跨地区通用
Bacteroides_salyersiae,-0.4078816590441699,0.0025142151613101,0.0215993938858009,lean_enriched,0.391,,,,,,False,False,中东,adjusted_only_single_study,Bacteroides,0.14604153785565221,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.38431983646224266,0.6798027650736165,1.0,跨地区通用
Butyricimonas_synergistica,-0.2566797618708464,0.0035449024100679,0.0279161064792851,lean_enriched,0.554,,,,,,False,False,中东,adjusted_only_single_study,Butyricimonas,-0.010062196356634821,2.0,0.0,0.0,culturable_anaerobe,0.75,0,0,0.0,0.42779960311807735,0.0,中东特有
Butyricimonas_virosa,-0.2658062386572055,0.0013159026593112,0.0155441001631137,lean_enriched,0.542,,,,,,False,False,中东,adjusted_only_single_study,Butyricimonas,0.11278889494255587,2.0,0.0,0.0,culturable_anaerobe,0.75,0,0,0.2968128814277786,0.4430103977620092,0.0,中东特有
Alistipes_indistinctus,-0.3095011475261998,0.0049198926380598,0.0357638349458965,lean_enriched,0.49,,,,,,False,False,中东,adjusted_only_single_study,Alistipes,0.058659253944448535,0.0,2.0,0.0,culturable_anaerobe,0.8,0,0,0.15436645774854876,0.5158352458769997,1.0,跨地区通用
Alistipes_shahii,-0.309544221285669,0.0006199081098808,0.0083687594833916,lean_enriched,0.49,,,,,,False,False,中东,adjusted_only_single_study,Alistipes,0.23244894129368543,0.0,2.0,0.0,culturable_anaerobe,0.8,0,0,0.6117077402465406,0.515907035476115,1.0,中东特有
Parabacteroides_goldsteinii,-0.3335556282668336,0.0005403368711717,0.0078556668193426,lean_enriched,0.464,,,,,,False,False,中东,adjusted_only_single_study,Parabacteroides,0.12843239240652599,0.0,2.0,0.0,culturable_easy,0.9,0,0,0.33797998001717366,0.5559260471113894,1.0,跨地区通用
Anaerostipes_hadrus,-0.3774927905500553,1.1143534941504237e-05,0.0009886243597268,lean_enriched,0.419,,,,,,False,False,中东,adjusted_only_single_study,Anaerostipes,0.3455478955939366,2.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.9093365673524648,0.6291546509167588,0.0,中东特有
Butyrivibrio_crossotus,-0.4908655272262516,0.0003312971015765,0.0056922865634519,lean_enriched,0.323,,,,,,False,False,中东,adjusted_only_single_study,Butyrivibrio,0.09666863923217865,2.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.25439115587415434,0.8181092120437526,0.0,跨地区通用
Coprococcus_catus,-0.2715136454056239,0.005766487535081,0.0389237908617971,lean_enriched,0.535,,,,,,False,False,中东,adjusted_only_single_study,Coprococcus,0.545924683076001,2.0,0.0,0.0,culturable_anaerobe,0.8,1,0,1.0,0.4525227423427065,0.0,中东特有
Eubacterium_siraeum,-0.475411001759507,0.0014491666284435,0.016111323104461,lean_enriched,0.335,,,,,,False,False,中东,adjusted_only_single_study,Eubacterium,0.27222340970219194,0.0,0.0,0.0,culturable_anaerobe,0.85,1,0,0.7163773939531367,0.7923516695991784,0.0,跨地区通用
Ruthenibacterium_lactatiformans,-0.3708706949908203,6.089227254294326e-05,0.0016440913586594,lean_enriched,0.426,,,,,,False,False,中东,adjusted_only_single_study,Ruthenibacterium,0.40940713874929485,2.0,0.0,0.0,culturable_anaerobe,0.7,0,0,1.0,0.6181178249847006,0.0,中东特有
Victivallis_vadensis,-0.2470012832130861,0.0023803796639487,0.0214234169755384,lean_enriched,0.566,,,,,,False,False,中东,adjusted_only_single_study,Victivallis,0.12547711143353812,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.33020292482510033,0.4116688053551435,0.0,跨地区通用
Akkermansia_muciniphila,-0.5542218371349412,0.0004076592092711,0.0064206325460205,lean_enriched,0.279,,,,,,False,False,中东,adjusted_only_single_study,Akkermansia,0.2758220302706109,0.0,2.0,2.0,culturable_commercial,1.0,0,0,0.725847448080555,0.9237030618915687,1.0,跨地区通用
