evidence_id,source_database,source_accession,doi,pmid,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,year,title,source_url
PMID:39842252,PubMed,39842252,10.1016/j.clnu.2024.12.031,39842252.0,high,2,randomized_controlled_trial,probiotic,,body_composition,2025,"Effect of caloric restriction with probiotic supplementation on body composition, quality of life, and psychobiological factors of obese men: A randomized, double-blinded placebo-controlled clinical trial.",https://pubmed.ncbi.nlm.nih.gov/39842252/
PMID:39981988,PubMed,39981988,10.1002/mnfr.202400806,39981988.0,high,2,needs_manual_classification,,,weight,2025,"Nutraceutical Blends Promote Weight Loss, Inflammation Reduction, and Better Sleep: The Role of Faecalibacterium prausnitzii in Overweight Adults-A Double-Blind Trial.",https://pubmed.ncbi.nlm.nih.gov/39981988/
PMID:40902730,PubMed,40902730,10.1016/j.tjnut.2025.08.026,40902730.0,high,2,randomized_controlled_trial,probiotic,,microbiome,2025,Can Probiotics Influence Adaptive Thermogenesis Induced by Continuous Energy Restriction after a 12-Week Intervention in Adult Males Living with Obesity? A Secondary Analysis of a Randomized Clinical Trial (São Paulo Clinical Study of Obesity and Intestinal Microbiota).,https://pubmed.ncbi.nlm.nih.gov/40902730/
NCT:NCT06710106,ClinicalTrials.gov,NCT06710106,,,high,2,clinical_trial_registry,prebiotic,,weight,2024,Effect of a Low-calorie Diet With a Prebiotic Supplement on Health of Overweight-obese Subjects.,https://clinicaltrials.gov/study/NCT06710106
NCT:NCT06305650,ClinicalTrials.gov,NCT06305650,,,high,2,clinical_trial_registry,probiotic,,lipid,2024,Probiotic Influence on Obesity-Related Lipidemia,https://clinicaltrials.gov/study/NCT06305650
NCT:NCT05949255,ClinicalTrials.gov,NCT05949255,,,high,2,clinical_trial_registry,probiotic,,glucose,2024,Probiotics and Insulin Resistance in Obese Asthmatics,https://clinicaltrials.gov/study/NCT05949255
NCT:NCT06213480,ClinicalTrials.gov,NCT06213480,,,high,2,clinical_trial_registry,synbiotic,,weight,2024,Next-Generation Synbiotic in Individuals With Overweight or Obesity,https://clinicaltrials.gov/study/NCT06213480
PMID:38999802,PubMed,38999802,10.3390/nu16132055,38999802.0,high,2,randomized_controlled_trial,probiotic,,weight;glucose,2024,"Preoperative Multistrain Probiotic Supplementation Does Not Affect Body Weight Changes or Cardiometabolic Risk Factors in Bariatrics: Randomized, Double-Blind, Placebo-Controlled Clinical Trial.",https://pubmed.ncbi.nlm.nih.gov/38999802/
PMID:39594072,PubMed,39594072,10.3390/foods13223655,39594072.0,high,2,randomized_controlled_trial,,Bifidobacterium,glucose,2024,Modulation of Serum Metabolic Profiles by Bifidobacterium breve BBr60 in Obesity: A Randomized Controlled Trial.,https://pubmed.ncbi.nlm.nih.gov/39594072/
PMID:39574069,PubMed,39574069,10.1186/s12916-024-03744-x,39574069.0,high,2,meta_analysis_or_systematic_review,,,glucose,2024,Strategic interventions in clinical randomized trials for metabolic dysfunction-associated steatotic liver disease (MASLD) and obesity in the pediatric population: a systematic review with meta-analysis and bibliometric analysis.,https://pubmed.ncbi.nlm.nih.gov/39574069/
PMID:39117856,PubMed,39117856,10.1007/s11695-024-07437-5,39117856.0,high,2,randomized_controlled_trial,probiotic,,weight;body_composition,2024,"Effects of Probiotic Supplementation Added to a Weight Loss Program on Anthropometric Measures, Body Composition, Eating Behavior, and Related Hormone Levels in Patients with Food Addiction and Weight Regain After Bariatric Surgery: A Randomized Clinical Trial.",https://pubmed.ncbi.nlm.nih.gov/39117856/
PMID:39298907,PubMed,39298907,10.1016/j.dsx.2024.103118,39298907.0,high,2,meta_analysis_or_systematic_review,,,glucose;microbiome,2024,"The effect of microbiome-modulating therapeutics on glucose homeostasis in metabolic syndrome: A systematic review, meta-analysis, and meta-regression of clinical trials.",https://pubmed.ncbi.nlm.nih.gov/39298907/
NCT:NCT06030999,ClinicalTrials.gov,NCT06030999,,,high,2,clinical_trial_registry,probiotic;prebiotic,,weight,2023,The Prevention And Treatment On Obesity And Weight Management By Oral Supplementation Of Probiotics And Prebiotics,https://clinicaltrials.gov/study/NCT06030999
NCT:NCT07492485,ClinicalTrials.gov,NCT07492485,,,high,2,clinical_trial_registry,,,microbiome,2023,Precision Nutrition Recommendations Generated by Metataxonomic Microbiome Testing Improve Food Group Choices and Intestinal Health Indicators in an Obese Population in Colombia,https://clinicaltrials.gov/study/NCT07492485
NCT:NCT07448220,ClinicalTrials.gov,NCT07448220,,,high,2,clinical_trial_registry,probiotic,,microbiome,2023,Study on the Efficacy of Probiotics in the Treatment of Childhood Obesity and Their Effects on Gut Microbiota,https://clinicaltrials.gov/study/NCT07448220
NCT:NCT06035718,ClinicalTrials.gov,NCT06035718,,,high,2,clinical_trial_registry,probiotic,,weight,2023,Effect of Transcranial Direct Current Stimulation (tDCS) and Probiotic Supplementation in Overweight Adults,https://clinicaltrials.gov/study/NCT06035718
PMID:37929031,PubMed,37929031,10.3389/fendo.2023.1237882,37929031.0,high,2,randomized_controlled_trial,synbiotic,,glucose,2023,Ameliorating effects of L-carnitine and synbiotic co-supplementation on anthropometric measures and cardiometabolic traits in women with obesity: a randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/37929031/
PMID:37875559,PubMed,37875559,10.1038/s41598-023-45395-7,37875559.0,high,2,randomized_controlled_trial,probiotic,,weight,2023,"Evaluating probiotic efficacy on weight loss in adults with overweight through a double-blind, placebo-controlled randomized trial.",https://pubmed.ncbi.nlm.nih.gov/37875559/
PMID:37239916,PubMed,37239916,10.3390/ijms24108567,37239916.0,high,2,randomized_controlled_trial,probiotic,,weight,2023,"Potential Modulation of Inflammation and Physical Function by Combined Probiotics, Omega-3 Supplementation and Vitamin D Supplementation in Overweight/Obese Patients with Chronic Low-Grade Inflammation: A Randomized, Placebo-Controlled Trial.",https://pubmed.ncbi.nlm.nih.gov/37239916/
NCT:NCT05002153,ClinicalTrials.gov,NCT05002153,,,high,2,clinical_trial_registry,,,microbiome,2022,The Role of Microbiome in Recurrent Obesity,https://clinicaltrials.gov/study/NCT05002153
PMID:35845797,PubMed,35845797,10.3389/fnut.2022.898037,35845797.0,high,2,randomized_controlled_trial,synbiotic,,lipid;glucose,2022,"Effects of Multispecies Synbiotic Supplementation on Anthropometric Measurements, Glucose and Lipid Parameters in Children With Exogenous Obesity: A Randomized, Double Blind, Placebo-Controlled Clinical Trial (Probesity-2 Trial).",https://pubmed.ncbi.nlm.nih.gov/35845797/
PMID:35264213,PubMed,35264213,10.1186/s13073-022-01015-z,35264213.0,high,2,randomized_controlled_trial,,,glucose;microbiome,2022,The effects of the Green-Mediterranean diet on cardiometabolic health are linked to gut microbiome modifications: a randomized controlled trial.,https://pubmed.ncbi.nlm.nih.gov/35264213/
PMID:35807808,PubMed,35807808,10.3390/nu14132627,35807808.0,high,2,meta_analysis_or_systematic_review,,,weight,2022,Prolonged Isolated Soluble Dietary Fibre Supplementation in Overweight and Obese Patients: A Systematic Review with Meta-Analysis of Randomised Controlled Trials.,https://pubmed.ncbi.nlm.nih.gov/35807808/
NCT:NCT05459909,ClinicalTrials.gov,NCT05459909,,,high,2,clinical_trial_registry,synbiotic,,weight,2020,The Effect of Synbiotic and Diet Modification Among Overweight or Obese Hong Kong Chinese,https://clinicaltrials.gov/study/NCT05459909
NCT:NCT05664321,ClinicalTrials.gov,NCT05664321,,,high,2,clinical_trial_registry,,,microbiome,2019,Influence of Adiposity and Other Factors on the Gut Microbiota Composition,https://clinicaltrials.gov/study/NCT05664321
PMID:31780038,PubMed,31780038,10.1016/j.ctim.2019.102216,31780038.0,high,2,randomized_controlled_trial,synbiotic,,weight,2019,Clinical and psychological responses to synbiotic supplementation in obese or overweight adults: A randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/31780038/
PMID:31162597,PubMed,31162597,10.1093/jn/nxz071,31162597.0,high,2,randomized_controlled_trial,probiotic;prebiotic,,lipid;glucose,2019,Glucose- and Lipid-Related Biomarkers Are Affected in Healthy Obese or Hyperglycemic Adults Consuming a Whole-Grain Pasta Enriched in Prebiotics and Probiotics: A 12-Week Randomized Controlled Trial.,https://pubmed.ncbi.nlm.nih.gov/31162597/
PMID:30924853,PubMed,30924853,10.1093/nutrit/nuz001,30924853.0,high,2,meta_analysis_or_systematic_review,probiotic;synbiotic,,weight,2019,Effects of oral supplementation with probiotics or synbiotics in overweight and obese adults: a systematic review and meta-analyses of randomized trials.,https://pubmed.ncbi.nlm.nih.gov/30924853/
NCT:NCT03477916,ClinicalTrials.gov,NCT03477916,,,high,2,clinical_trial_registry,,,glucose,2018,Fecal Microbial Transplantation and Fiber Supplementation in Participants With Obesity and Metabolic Syndrome.,https://clinicaltrials.gov/study/NCT03477916
NCT:NCT04042181,ClinicalTrials.gov,NCT04042181,,,high,2,clinical_trial_registry,probiotic,,weight;BMI,2018,"The Effects of Supplementation of a Probiotic, B. Longum, on BMI and Anthropometric Outcomes in Overweight/Obese Adults.",https://clinicaltrials.gov/study/NCT04042181
NCT:NCT02958644,ClinicalTrials.gov,NCT02958644,,,high,2,clinical_trial_registry,synbiotic,,BMI,2017,Effect of Synbiotic Supplement on the Body Mass Index of Participants With Severe Obesity,https://clinicaltrials.gov/study/NCT02958644
NCT:NCT03266055,ClinicalTrials.gov,NCT03266055,,,high,2,clinical_trial_registry,,,glucose;microbiome,2017,Effects of Blueberry on Gut Microbiota and Metabolic Syndrome,https://clinicaltrials.gov/study/NCT03266055
NCT:NCT03135041,ClinicalTrials.gov,NCT03135041,,,high,2,clinical_trial_registry,prebiotic,,weight,2017,The Effect of Prebiotic Fibres on Weight Loss in an Overweight and Obese Population,https://clinicaltrials.gov/study/NCT03135041
NCT:NCT03883191,ClinicalTrials.gov,NCT03883191,,,high,2,clinical_trial_registry,probiotic,,weight,2017,Effect of a Three Combined Probiotics Supplementation on Weight Loss in Obese/Overweight Children,https://clinicaltrials.gov/study/NCT03883191
NCT:NCT03287726,ClinicalTrials.gov,NCT03287726,,,high,2,clinical_trial_registry,probiotic,,weight,2017,What is the Impact of Probiotics on Weight Loss Maintenance in Individuals With Obesity?,https://clinicaltrials.gov/study/NCT03287726
NCT:NCT02127125,ClinicalTrials.gov,NCT02127125,,,high,2,clinical_trial_registry,,,glucose;microbiome,2014,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),https://clinicaltrials.gov/study/NCT02127125
PMID:24184299,PubMed,24184299,10.1016/j.jped.2013.07.003,24184299.0,high,2,randomized_controlled_trial,synbiotic,,weight,2014,A randomized triple-masked controlled trial on the effects of synbiotics on inflammation markers in overweight children.,https://pubmed.ncbi.nlm.nih.gov/24184299/
NCT:NCT01870544,ClinicalTrials.gov,NCT01870544,,,high,2,clinical_trial_registry,probiotic,,weight;microbiome,2013,"Does Weight Loss Surgery and Probiotic Supplementation Lead to a ""Lean"" Gut Microbiota?",https://clinicaltrials.gov/study/NCT01870544
NCT:NCT05671731,ClinicalTrials.gov,NCT05671731,,,high,2,clinical_trial_registry,prebiotic,,body_composition;microbiome,2012,Combining Prebiotic and Diet/Physical Activity Educational Program Effects on Body Composition and Intestinal Microbiota in Children,https://clinicaltrials.gov/study/NCT05671731
NCT:NCT01650025,ClinicalTrials.gov,NCT01650025,,,high,2,clinical_trial_registry,,,BMI;lipid;glucose,2012,"Effects of VSL#3 on Metabolic, Endocrine, Lipidomic and Inflammatory Parameters of Pediatric Patients With BMI>90°",https://clinicaltrials.gov/study/NCT01650025
NCT:NCT00522353,ClinicalTrials.gov,NCT00522353,,,high,2,clinical_trial_registry,prebiotic,,weight,2007,Prebiotic Fiber as a Modifier of Satiety Hormones and Body Weight in Overweight and Obese Adults,https://clinicaltrials.gov/study/NCT00522353
NCT:NCT07565675,ClinicalTrials.gov,NCT07565675,,,high,1,clinical_trial_registry,prebiotic,,glucose,2026,The BALANCE Study - Improving Glucose Control Through Prebiotic Gut Health Drink in Postmenopausal Women,https://clinicaltrials.gov/study/NCT07565675
NCT:NCT07400367,ClinicalTrials.gov,NCT07400367,,,high,1,clinical_trial_registry,probiotic,,glucose,2026,"Impact of a Probiotic Supplementation With Lifestyle Modification on Liver Steatosis, Fibrosis, and Metabolic Health in Patients With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD)",https://clinicaltrials.gov/study/NCT07400367
NCT:NCT07386795,ClinicalTrials.gov,NCT07386795,,,high,1,clinical_trial_registry,prebiotic,,microbiome,2026,The Efficacy and Safety of Microbiota Transplantation Combined With Prebiotics for Treatment of Functional Constipation,https://clinicaltrials.gov/study/NCT07386795
EUROPEPMC:42091844,PubMed,42091844,10.1007/s11695-026-08706-1,42091844.0,high,1,randomized_controlled_trial,probiotic,,weight,2026,"Probiotic Effect on Quality of Life, Bowel Habits and Weight Loss after Different Types of Bariatric Surgeries, a Randomized Controlled Trial.",https://europepmc.org/article/MED/42091844
EUROPEPMC:10.21203/rs.3.rs-8449196/v1,publisher supplementary data,10.21203/rs.3.rs-8449196/v1,10.21203/rs.3.rs-8449196/v1,,high,1,randomized_controlled_trial,probiotic,,weight,2026,"Probiotic Effect on Quality of Life, Bowel Habits and Weight Loss after Different Types of Bariatric Surgeries, a Randomized Controlled Trial",
EUROPEPMC:42052391,PubMed,42052391,10.3389/fmicb.2026.1791192,42052391.0,high,1,randomized_controlled_trial,probiotic,,microbiome,2026,Distinct effects of a dairy probiotic drink and physical exercise on gut microbiota in pediatric acute lymphoblastic leukemia patients in remission: a randomized clinical trial.,https://europepmc.org/article/MED/42052391
EUROPEPMC:41776555,PubMed,41776555,10.1186/s13048-025-01959-x,41776555.0,high,1,meta_analysis_or_systematic_review,,,microbiome,2026,"Gut microbiota, a new approach to management of polycystic ovary syndrome: a systematic review, meta-analysis and meta-evidence of 26 randomized controlled trials.",https://europepmc.org/article/MED/41776555
PMID:42105359,PubMed,42105359,10.1093/nutrit/nuag049,42105359.0,high,1,meta_analysis_or_systematic_review,,,microbiome,2026,Monounsaturated Fatty Acid-Rich Foods and Gut Microbiota Composition: A Systematic Review of In Vivo Studies and Randomized Clinical Trials.,https://pubmed.ncbi.nlm.nih.gov/42105359/
NCT:NCT07097974,ClinicalTrials.gov,NCT07097974,,,high,1,clinical_trial_registry,,,weight,2025,Evaluation of the Efficacy of the Composite WM Formula in Body Weight Change,https://clinicaltrials.gov/study/NCT07097974
NCT:NCT06964932,ClinicalTrials.gov,NCT06964932,,,high,1,clinical_trial_registry,probiotic,,,2025,Probiotics in Obesity Management,https://clinicaltrials.gov/study/NCT06964932
NCT:NCT06815926,ClinicalTrials.gov,NCT06815926,,,high,1,clinical_trial_registry,probiotic,,weight,2025,Clinical Trial to Evaluate the Effect of a Probiotic Product on Weight,https://clinicaltrials.gov/study/NCT06815926
NCT:NCT06987279,ClinicalTrials.gov,NCT06987279,,,high,1,clinical_trial_registry,,Lactobacillus,,2025,Lactobacillus Plantarum and Hormonal Regulation in Obese Women,https://clinicaltrials.gov/study/NCT06987279
NCT:NCT06901739,ClinicalTrials.gov,NCT06901739,,,high,1,clinical_trial_registry,synbiotic,,,2025,Therapeutic Potential of a Synbiotic to Improve Mental Health in Subjects With Obesity.,https://clinicaltrials.gov/study/NCT06901739
PMID:40951500,PubMed,40951500,10.52225/narra.v5i2.1562,40951500.0,high,1,meta_analysis_or_systematic_review,probiotic,Lactobacillus,,2025,Probiotic Lactobacillus sp. as a strategy for modulation of non-comorbid obesity: A systematic meta-analysis and GRADE assessment of randomized controlled trials.,https://pubmed.ncbi.nlm.nih.gov/40951500/
