evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url
PMID:34358838,PubMed,34358838,10.1016/j.clnu.2021.06.023,34358838,Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials.,2021,literature,high,3,meta_analysis_or_systematic_review,probiotic,,weight,true,https://pubmed.ncbi.nlm.nih.gov/34358838/
PMID:34434546,PubMed,34434546,10.1016/j.amsu.2021.102548,34434546,Effects of synbiotic supplement on body weight and fasting blood glucose levels in obesity: A randomized placebo-controlled trial.,2021,literature,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/34434546/
NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,,,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,2020,clinical_trial,high,3,clinical_trial_registry,synbiotic,,weight;body_composition,true,https://clinicaltrials.gov/study/NCT04611477
PMID:32234652,PubMed,32234652,10.1016/j.nut.2020.110749,32234652,Gut microbiota composition after diet and probiotics in overweight breast cancer survivors: a randomized open-label pilot intervention trial.,2020,literature,high,3,randomized_controlled_trial,probiotic,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/32234652/
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,,,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,2019,clinical_trial,high,3,clinical_trial_registry,synbiotic,,glucose;microbiome,true,https://clinicaltrials.gov/study/NCT04642482
PMID:30525950,PubMed,30525950,10.3920/BM2018.0028,30525950,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults.,2019,literature,high,3,randomized_controlled_trial,probiotic;synbiotic,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/30525950/
NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,,,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,2017,clinical_trial,high,3,clinical_trial_registry,probiotic,,weight;body_composition,true,https://clinicaltrials.gov/study/NCT02893943
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,,,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,2017,clinical_trial,high,3,clinical_trial_registry,synbiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT05423015
PMID:28730743,PubMed,28730743,10.1002/mnfr.201700484,28730743,Inulin-type fructans and whey protein both modulate appetite but only fructans alter gut microbiota in adults with overweight/obesity: A randomized controlled trial.,2017,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/28730743/
PMID:28792488,PubMed,28792488,10.1038/ijo.2017.161,28792488,Effect of Lactobacillus on body weight and body fat in overweight subjects: a systematic review of randomized controlled clinical trials.,2017,literature,high,3,meta_analysis_or_systematic_review,,Lactobacillus,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/28792488/
