run_accession,sample_accession,sample_alias,sample_serial,fastq_ftp,fastq_bytes,collection_date
ERR13914777,SAMEA116333236,2023_0028_0086,0086,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/077/ERR13914777/ERR13914777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/077/ERR13914777/ERR13914777_2.fastq.gz,1730041912;1803137368,2023
ERR13914778,SAMEA116333239,2023_0028_0089,0089,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13914778/ERR13914778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13914778/ERR13914778_2.fastq.gz,1855444041;1913005256,2023
ERR13914780,SAMEA116333242,2023_0028_0092,0092,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/080/ERR13914780/ERR13914780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/080/ERR13914780/ERR13914780_2.fastq.gz,1489092304;1526160734,2023
ERR13914781,SAMEA116333244,2023_0028_0094,0094,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/081/ERR13914781/ERR13914781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/081/ERR13914781/ERR13914781_2.fastq.gz,1430798656;1477927767,2023
ERR13914782,SAMEA116333245,2023_0028_0095,0095,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/082/ERR13914782/ERR13914782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/082/ERR13914782/ERR13914782_2.fastq.gz,1464519664;1502600143,2023
ERR13914783,SAMEA116333247,2023_0028_0097,0097,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/083/ERR13914783/ERR13914783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/083/ERR13914783/ERR13914783_2.fastq.gz,1537458728;1569957190,2023
ERR13914785,SAMEA116333248,2023_0028_0098,0098,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/085/ERR13914785/ERR13914785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/085/ERR13914785/ERR13914785_2.fastq.gz,1742450701;1790017644,2023
ERR13914786,SAMEA116333250,2023_0028_0100,0100,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/086/ERR13914786/ERR13914786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/086/ERR13914786/ERR13914786_2.fastq.gz,1758019712;1797067915,2023
ERR13914788,SAMEA116333251,2023_0028_0101,0101,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/088/ERR13914788/ERR13914788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/088/ERR13914788/ERR13914788_2.fastq.gz,1895006908;1945195697,2023
ERR13914789,SAMEA116333253,2023_0028_0103,0103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/089/ERR13914789/ERR13914789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/089/ERR13914789/ERR13914789_2.fastq.gz,1813988633;1883101808,2023
